Name,day,Maximum_Temperature,Minimum_Temperature,Temperature,Wind_Chill,Precipitation,Snow,Wind_Speed,Visibility,Cloud_Cover,Relative_Humidity,Conditions
"London, England, United Kingdom",2011-11-23,10.6,4.5,7.8,3.2,0.2,,12.4,10.2,0.1,91.9,Rain
"London, England, United Kingdom",2011-11-24,13.1,9,10.6,7.1,0.24,,22.7,17.6,0.2,88.6,Rain
"London, England, United Kingdom",2011-11-25,13.3,7.6,11.1,4.8,1,,28.8,24.4,0.2,78.93,Rain
"London, England, United Kingdom",2011-11-26,13.1,7,10.4,4.5,0,,35.5,28.1,0.3,80.8,Clear
"London, England, United Kingdom",2011-11-27,14.1,5.1,11.3,4,0.5,,34.5,33.7,0.3,70.82,Rain
"London, England, United Kingdom",2011-11-28,13,1.6,7,5.5,0.3,,20.1,17.5,0.2,86.17,Rain
"London, England, United Kingdom",2011-11-29,13.8,6.8,12,4.1,1.68,,37.8,30.8,0.4,80.88,Rain
"London, England, United Kingdom",2011-11-30,12.1,6.6,9.3,4,0.8,,25.1,27.4,0.2,76.94,Rain
"London, England, United Kingdom",2011-12-01,12.5,6.1,10.1,4.7,5.81,,30,24.1,0.3,81.19,Rain
"London, England, United Kingdom",2011-12-02,8.1,3,6,1.3,5.66,,24.4,20.4,0.2,86.79,Rain
"London, England, United Kingdom",2011-12-03,11.8,8.1,10.4,5,2.83,,30.8,25.7,0.3,79.04,Rain
"London, England, United Kingdom",2011-12-04,9.6,4.8,8.1,1.4,0.75,,21.9,36.8,0.2,82.02,Rain
"London, England, United Kingdom",2011-12-05,7.3,3,4.8,-1.1,0.3,,28.9,41.4,0.1,76.97,Rain
"London, England, United Kingdom",2011-12-06,7.1,2.6,5,-1.7,0.7,,21.7,37.9,0.2,83.11,Rain
"London, England, United Kingdom",2011-12-07,9.3,5,7.7,1.4,2.8,,36.2,36,0.2,67.8,Rain
"London, England, United Kingdom",2011-12-08,13.1,4.3,9.3,0.7,1.26,,43.6,25,0.4,80.58,Rain
"London, England, United Kingdom",2011-12-09,7.8,2.3,5.6,-1.5,1.01,,26.2,33.4,0.1,71.22,Rain
"London, England, United Kingdom",2011-12-10,6.6,-0.2,2.9,-3.5,0,,16.7,29.3,0.1,81.29,Clear
"London, England, United Kingdom",2011-12-11,9,2.5,6.6,0.6,0.92,,26.2,24.3,0.4,87.63,Rain
"London, England, United Kingdom",2011-12-12,10,3.3,6.8,-0.3,4.12,,39.4,27.1,0.2,84.45,Rain
"London, England, United Kingdom",2011-12-13,12.3,5.1,8.2,0.9,11.88,,40.7,35,0.3,74.07,Rain
"London, England, United Kingdom",2011-12-14,6.3,4.5,5.5,1.4,1.6,,32.5,38.4,0.2,77.61,Rain
"London, England, United Kingdom",2011-12-15,8.3,4.3,6.4,1.3,0.3,,37.9,33.3,0.2,76.64,Rain
"London, England, United Kingdom",2011-12-16,5,2.3,3.9,-2.1,13.59,,25.5,25.4,0.3,86.72,Rain
"London, England, United Kingdom",2011-12-17,5.8,0.1,3.3,-3.5,1.2,,20,26,0.2,86.55,Rain
"London, England, United Kingdom",2011-12-18,5.8,-0.5,2.4,-3.7,0.7,,21.9,32.9,0.1,83.62,Rain
"London, England, United Kingdom",2011-12-19,6.6,-0.9,3.4,-2.7,4.81,,16.3,14.4,0.3,95.87,Rain
"London, England, United Kingdom",2011-12-20,8.8,5.6,6.9,2,1.2,,25,33.3,0.2,81.74,Rain
"London, England, United Kingdom",2011-12-21,12.3,6.1,9.7,4.3,4.1,,17.3,16.5,0.3,94.29,Rain
"London, England, United Kingdom",2011-12-22,12.3,7.7,10.3,5,0.3,,19.9,24.8,0.1,87.55,Rain
"London, England, United Kingdom",2011-12-23,11.6,5.6,9.9,1.6,4.6,,32.5,28,0.4,84.04,Rain
"London, England, United Kingdom",2011-12-24,8.5,3.3,6.2,-0.1,0.88,,23.1,30.8,0.2,80.2,Rain
"London, England, United Kingdom",2011-12-25,12.1,8.8,10.9,6,0.75,,28.1,38.3,0.3,82.71,Rain
"London, England, United Kingdom",2011-12-26,13.1,10.1,11.8,,0.2,,24.7,35.1,0.3,83.59,Rain
"London, England, United Kingdom",2011-12-27,10.6,8.1,10.1,5.6,0,,20.8,37.1,0.2,73.39,Clear
"London, England, United Kingdom",2011-12-28,11.3,6.1,9.1,2.1,0.5,,27.9,27.6,0.3,76.45,Rain
